"","campaignid"
"1","2009-Winter-PSGLMP-StereoBRUVs"
"2","2010-07-SIMP.intermediate.reef-stereoBRUVs"
"3","2010-Winter-PSGLMP-BRUVs"
"4","2010_JBMP_SingleBRUV"
"5","2011-08-SIMP.intermediate.reef-stereoBRUVs"
"6","2011-Winter-PSGLMP-StereoBRUVs"
"7","2011_JBMP_StereoBRUV"
"8","2013-Winter-PSGLMP-StereoBRUVs"
"9","2015-06-SIMP.shallow.reef-stereoBRUVs"
"10","2015-07-CBMP.intermediate.reef-stereoBRUVs"
"11","2015-07-SIMP.intermediate.reef-stereoBRUVs"
"12","2015-07_PSGLMP_StereoBRUVs"
"13","2015_BMP_StereoBRUV_statewide"
"14","2015_JBMP_StereoBRUV"
"15","2016-08-SIMP.intermediate.reef-stereoBRUVs"
"16","2016-08_PSGLMP_StereoBRUVs"
"17","2016_BMP_StereoBRUV"
"18","2016_JBMP_StereoBRUV"
"19","2017-Winter-PSGLMP-StereoBRUVs"
"20","2019_Greater.Sydney.Region_stereoBRUVs"
"21","2022-08-SIMP.intermediate.reef-stereoBRUVs"
"22","2022_BMP_stereoBRUVs"
"23","2022_GSR_stereoBRUVs"
"24","2022_JBMP_stereoBRUVs"
"25","2022_PSGLMP_stereoBRUVs"
"26","2023-07-SIMP_intermediate_reef-stereoBRUVs"
